id,date,time,temp,hum,vibr
,17/11/2021,19:56:13,27.58,41.86,0.06
,17/11/2021,19:56:26,27.61,41.88,0.09
,17/11/2021,19:57:04,27.62,41.88,0.07
,17/11/2021,19:57:44,27.64,41.88,0.05
,17/11/2021,19:58:23,27.66,41.88,0.10
,17/11/2021,19:59:27,27.68,41.88,0.07
,17/11/2021,20:00:02,27.72,41.99,0.07
,17/11/2021,20:00:41,27.72,42.00,0.08
,17/11/2021,20:01:50,27.73,42.07,0.07
,17/11/2021,20:02:03,27.77,42.16,0.09
,17/11/2021,20:02:40,27.77,42.21,0.09
,17/11/2021,20:04:21,27.83,42.39,0.11
,17/11/2021,20:04:40,27.83,42.41,0.09
,17/11/2021,20:05:18,27.84,42.43,0.09
,17/11/2021,20:05:58,27.84,42.46,0.08
,17/11/2021,20:07:06,27.85,42.57,0.11
,17/11/2021,20:07:38,27.88,42.65,0.09
,17/11/2021,20:08:16,27.90,42.75,0.09
,17/11/2021,20:08:56,27.91,42.88,0.07
,17/11/2021,20:09:17,27.92,42.90,0.09
,17/11/2021,20:10:18,27.92,42.95,0.05
,17/11/2021,20:10:54,27.92,43.08,0.09
,17/11/2021,20:11:58,27.92,43.18,0.09
,17/11/2021,20:12:38,27.94,43.26,0.09
,17/11/2021,20:13:13,27.95,43.33,0.07
,17/11/2021,20:13:34,27.96,43.45,0.05
,17/11/2021,20:14:12,27.96,43.52,0.10
,17/11/2021,20:15:15,27.99,43.61,0.07
,17/11/2021,20:16:15,28.00,43.66,0.07
,17/11/2021,20:17:01,28.02,43.73,0.08
,17/11/2021,20:17:12,27.98,43.76,0.08
,17/11/2021,20:17:50,28.02,43.95,0.08
,17/11/2021,20:18:53,28.03,44.07,0.08
,17/11/2021,20:19:16,28.04,44.21,0.09
,17/11/2021,20:19:49,27.99,44.09,0.07
,17/11/2021,20:20:29,28.06,44.27,0.08
,17/11/2021,20:21:08,28.07,44.31,0.05
,17/11/2021,20:21:47,28.07,44.37,0.05
,17/11/2021,20:22:26,28.09,44.48,0.06
,17/11/2021,20:22:47,28.09,44.59,0.07
,17/11/2021,20:23:07,28.09,44.65,0.09
,17/11/2021,20:23:46,28.10,44.77,0.08
,17/11/2021,20:24:25,28.10,44.77,0.08
,17/11/2021,20:25:28,28.10,44.84,0.07
,17/11/2021,20:26:27,28.13,44.81,0.07
,17/11/2021,20:27:03,28.13,45.03,0.07
,17/11/2021,20:27:42,28.14,45.23,0.07
,17/11/2021,20:28:04,28.14,45.32,0.09
,17/11/2021,20:28:42,28.14,45.31,0.10
,17/11/2021,20:29:45,28.15,45.25,0.08
,17/11/2021,20:30:21,28.15,45.45,0.08
,17/11/2021,20:30:42,28.17,45.40,0.08
,17/11/2021,20:31:32,28.18,45.31,0.09
,17/11/2021,20:32:11,28.18,45.50,0.06
,17/11/2021,20:32:39,28.18,45.69,0.09
,17/11/2021,20:33:43,28.18,45.73,0.06
,17/11/2021,20:34:18,28.19,45.84,0.09
,17/11/2021,20:34:58,28.19,45.95,0.05
,17/11/2021,20:35:37,28.21,46.01,0.07
,17/11/2021,20:35:59,28.21,45.87,0.07
,17/11/2021,20:36:18,28.22,45.87,0.08
,17/11/2021,20:36:56,28.22,45.94,0.08
,17/11/2021,20:37:36,28.22,46.01,0.06
,17/11/2021,20:38:15,28.24,46.09,0.08
,17/11/2021,20:39:20,28.24,46.26,0.04
,17/11/2021,20:39:55,28.25,46.26,0.09
,17/11/2021,20:40:16,28.25,46.20,0.09
,17/11/2021,20:40:53,28.25,46.30,0.08
,17/11/2021,20:41:33,28.26,46.55,0.06
,17/11/2021,20:42:13,28.26,46.64,0.07
,17/11/2021,20:42:52,28.26,46.59,0.07
,17/11/2021,20:43:44,28.28,46.62,0.07
,17/11/2021,20:43:53,28.29,46.66,0.04
,17/11/2021,20:44:34,28.29,46.66,0.07
,17/11/2021,20:45:11,28.29,46.76,0.08
,17/11/2021,20:45:50,28.29,47.00,0.08
,17/11/2021,20:46:30,28.29,47.08,0.05
,17/11/2021,20:47:10,28.30,47.27,0.08
,17/11/2021,20:47:49,28.30,47.29,0.07
,17/11/2021,20:48:28,28.30,47.35,0.08
,17/11/2021,20:49:35,28.30,47.48,0.07
